2023-10-15 09:02:46,581 Model 1, rep:2, n:96824, nind:96, iters:0
2023-10-15 09:02:49,485 Model 1, rep:18, n:4734, nind:9, iters:0
2023-10-15 09:02:52,664 Model 1, rep:19, n:4734, nind:9, iters:0
2023-10-15 09:02:53,923 Model 1, rep:7, n:37547, nind:40, iters:0
2023-10-15 09:02:56,725 Model 1, rep:0, n:5792, nind:10, iters:0
2023-10-15 09:02:57,208 Model 1, rep:13, n:21670, nind:25, iters:0
2023-10-15 09:03:00,759 Model 1, rep:1, n:5792, nind:10, iters:0
2023-10-15 09:03:04,397 Model 1, rep:2, n:5792, nind:10, iters:0
2023-10-15 09:03:07,201 Model 1, rep:5, n:53425, nind:55, iters:0
2023-10-15 09:03:08,596 Model 1, rep:3, n:5792, nind:10, iters:0
2023-10-15 09:03:11,886 Model 1, rep:14, n:21670, nind:25, iters:0
2023-10-15 09:03:12,646 Model 1, rep:4, n:5792, nind:10, iters:0
2023-10-15 09:03:13,220 Model 1, rep:3, n:82005, nind:82, iters:0
2023-10-15 09:03:16,663 Model 1, rep:5, n:5792, nind:10, iters:0
2023-10-15 09:03:19,755 Model 1, rep:8, n:37547, nind:40, iters:0
2023-10-15 09:03:20,708 Model 1, rep:6, n:5792, nind:10, iters:0
2023-10-15 09:03:24,591 Model 1, rep:7, n:5792, nind:10, iters:0
2023-10-15 09:03:26,022 Model 1, rep:4, n:69303, nind:70, iters:0
2023-10-15 09:03:27,437 Model 1, rep:15, n:21670, nind:25, iters:0
2023-10-15 09:03:29,115 Model 1, rep:8, n:5792, nind:10, iters:0
2023-10-15 09:03:32,869 Model 1, rep:9, n:5792, nind:10, iters:0
2023-10-15 09:03:36,855 Model 1, rep:10, n:5792, nind:10, iters:0
2023-10-15 09:03:37,341 Model 1, rep:3, n:90473, nind:90, iters:0
2023-10-15 09:03:41,005 Model 1, rep:11, n:5792, nind:10, iters:0
2023-10-15 09:03:42,571 Model 1, rep:16, n:21670, nind:25, iters:0
2023-10-15 09:03:45,051 Model 1, rep:6, n:53425, nind:55, iters:0
2023-10-15 09:03:45,302 Model 1, rep:12, n:5792, nind:10, iters:0
2023-10-15 09:03:46,569 Model 1, rep:9, n:37547, nind:40, iters:0
2023-10-15 09:03:49,491 Model 1, rep:13, n:5792, nind:10, iters:0
2023-10-15 09:03:53,191 Model 1, rep:14, n:5792, nind:10, iters:0
2023-10-15 09:03:54,585 Model 1, rep:3, n:96824, nind:96, iters:0
2023-10-15 09:03:57,376 Model 1, rep:15, n:5792, nind:10, iters:0
2023-10-15 09:03:58,090 Model 1, rep:17, n:21670, nind:25, iters:0
2023-10-15 09:04:01,630 Model 1, rep:16, n:5792, nind:10, iters:0
2023-10-15 09:04:05,232 Model 1, rep:17, n:5792, nind:10, iters:0
2023-10-15 09:04:08,762 Model 1, rep:18, n:5792, nind:10, iters:0
2023-10-15 09:04:10,141 Model 1, rep:4, n:82005, nind:82, iters:0
2023-10-15 09:04:11,924 Model 1, rep:10, n:37547, nind:40, iters:0
2023-10-15 09:04:12,323 Model 1, rep:18, n:21670, nind:25, iters:0
2023-10-15 09:04:13,018 Model 1, rep:19, n:5792, nind:10, iters:0
2023-10-15 09:04:13,934 Model 1, rep:5, n:69303, nind:70, iters:0
2023-10-15 09:04:17,450 Model 1, rep:0, n:6851, nind:11, iters:0
2023-10-15 09:04:21,232 Model 1, rep:7, n:53425, nind:55, iters:0
2023-10-15 09:04:21,774 Model 1, rep:1, n:6851, nind:11, iters:0
2023-10-15 09:04:25,830 Model 1, rep:2, n:6851, nind:11, iters:0
2023-10-15 09:04:26,222 Model 1, rep:19, n:21670, nind:25, iters:0
2023-10-15 09:04:30,103 Model 1, rep:3, n:6851, nind:11, iters:0
2023-10-15 09:04:34,172 Model 1, rep:4, n:6851, nind:11, iters:0
2023-10-15 09:04:35,502 Model 1, rep:11, n:37547, nind:40, iters:0
2023-10-15 09:04:37,073 Model 1, rep:4, n:90473, nind:90, iters:0
2023-10-15 09:04:38,861 Model 1, rep:5, n:6851, nind:11, iters:0
2023-10-15 09:04:40,673 Model 1, rep:0, n:22728, nind:26, iters:0
2023-10-15 09:04:43,156 Model 1, rep:6, n:6851, nind:11, iters:0
2023-10-15 09:04:47,187 Model 1, rep:7, n:6851, nind:11, iters:0
2023-10-15 09:04:51,210 Model 1, rep:8, n:6851, nind:11, iters:0
